date,act_symbol,expiration,strike,call_put,bid,ask,vol
2026-08-12,SPY,2026-09-11,796.00,Call,2.81,2.83,0.1113
2026-08-12,SPY,2026-09-11,796.00,Put,22.91,26.36,0.1131
2026-08-12,SPY,2026-09-11,803.00,Call,1.62,1.64,0.1101
2026-08-12,SPY,2026-09-11,803.00,Put,29.29,32.40,0.1176
2026-08-12,SPY,2026-09-11,819.00,Call,0.43,0.44,0.1117
2026-08-12,SPY,2026-09-11,819.00,Put,45.01,48.48,0.1518
2026-08-12,SPY,2026-09-11,835.00,Call,0.15,0.16,0.1208
2026-08-12,SPY,2026-09-11,835.00,Put,61.01,64.42,0.1871
2026-08-12,SPY,2026-09-11,850.00,Call,0.08,0.09,0.1340
2026-08-12,SPY,2026-09-11,850.00,Put,75.92,79.38,0.2210
2026-08-12,SPY,2026-09-11,870.00,Call,0.04,0.05,0.1521
2026-08-12,SPY,2026-09-11,870.00,Put,96.01,99.42,0.2600
2026-08-12,SPY,2026-09-11,890.00,Call,0.02,0.03,0.1682
2026-08-12,SPY,2026-09-11,890.00,Put,115.92,119.38,0.3006
2026-08-12,SPY,2026-09-11,910.00,Call,0.01,0.02,0.1887
2026-08-12,SPY,2026-09-11,910.00,Put,135.91,139.38,0.3377
2026-08-12,SPY,2026-09-11,925.00,Call,0.01,0.02,0.2061
2026-08-12,SPY,2026-09-11,925.00,Put,150.91,154.37,0.3657
2026-08-12,SPY,2026-09-11,930.00,Call,0.01,0.02,0.2118
2026-08-12,SPY,2026-09-11,930.00,Put,156.01,159.41,0.3710
2026-08-12,SPY,2026-09-25,540.00,Call,232.79,236.23,0.5420
2026-08-12,SPY,2026-09-25,540.00,Put,0.22,0.23,0.4234
2026-08-12,SPY,2026-09-25,580.00,Call,193.19,196.60,0.4532
2026-08-12,SPY,2026-09-25,580.00,Put,0.36,0.37,0.3690
2026-08-12,SPY,2026-09-25,620.00,Call,153.51,156.99,0.3721
2026-08-12,SPY,2026-09-25,620.00,Put,0.60,0.61,0.3155
2026-08-12,SPY,2026-09-25,635.00,Call,138.62,142.07,0.3445
2026-08-12,SPY,2026-09-25,635.00,Put,0.73,0.74,0.2954
2026-08-12,SPY,2026-09-25,655.00,Call,118.97,122.37,0.3083
2026-08-12,SPY,2026-09-25,655.00,Put,0.98,0.99,0.2692
2026-08-12,SPY,2026-09-25,675.00,Call,99.35,102.75,0.2709
2026-08-12,SPY,2026-09-25,675.00,Put,1.33,1.34,0.2429
2026-08-12,SPY,2026-09-25,695.00,Call,79.93,83.33,0.2379
2026-08-12,SPY,2026-09-25,695.00,Put,1.88,1.90,0.2170
2026-08-12,SPY,2026-09-25,710.00,Call,65.66,68.93,0.2139
2026-08-12,SPY,2026-09-25,710.00,Put,2.53,2.55,0.1979
2026-08-12,SPY,2026-09-25,726.00,Call,50.84,53.85,0.1896
2026-08-12,SPY,2026-09-25,726.00,Put,3.60,3.63,0.1787
2026-08-12,SPY,2026-09-25,742.00,Call,36.72,39.27,0.1663
2026-08-12,SPY,2026-09-25,742.00,Put,5.39,5.42,0.1599
2026-08-12,SPY,2026-09-25,749.00,Call,30.89,33.29,0.1574
2026-08-12,SPY,2026-09-25,749.00,Put,6.53,6.56,0.1523
2026-08-12,SPY,2026-09-25,757.00,Call,25.53,27.01,0.1536
2026-08-12,SPY,2026-09-25,757.00,Put,8.19,8.25,0.1444
2026-08-12,SPY,2026-09-25,765.00,Call,19.80,20.04,0.1394
2026-08-12,SPY,2026-09-25,765.00,Put,10.49,10.53,0.1370
2026-08-12,SPY,2026-09-25,772.00,Call,15.37,15.44,0.1327
2026-08-12,SPY,2026-09-25,772.00,Put,13.04,13.10,0.1314
2026-08-12,SPY,2026-09-25,780.00,Call,10.99,11.05,0.1269
2026-08-12,SPY,2026-09-25,780.00,Put,16.62,16.79,0.1262
2026-08-12,SPY,2026-09-25,788.00,Call,7.43,7.48,0.1220
2026-08-12,SPY,2026-09-25,788.00,Put,21.14,21.39,0.1217
2026-08-12,SPY,2026-09-25,796.00,Call,4.82,4.86,0.1186
2026-08-12,SPY,2026-09-25,796.00,Put,25.92,27.76,0.1188
2026-08-12,SPY,2026-09-25,803.00,Call,3.19,3.21,0.1164
2026-08-12,SPY,2026-09-25,803.00,Put,32.04,32.40,0.1174
2026-08-12,SPY,2026-09-25,819.00,Call,1.14,1.17,0.1147
2026-08-12,SPY,2026-09-25,819.00,Put,45.07,48.42,0.1217
2026-08-12,SPY,2026-09-25,835.00,Call,0.41,0.42,0.1175
2026-08-12,SPY,2026-09-25,835.00,Put,60.94,64.23,0.1479
2026-08-12,SPY,2026-09-25,850.00,Call,0.19,0.20,0.1245
2026-08-12,SPY,2026-09-25,850.00,Put,76.01,79.37,0.1760
2026-08-12,SPY,2026-09-25,870.00,Call,0.09,0.10,0.1374
2026-08-12,SPY,2026-09-25,870.00,Put,96.01,99.37,0.2093
2026-08-12,SPY,2026-09-25,890.00,Call,0.05,0.06,0.1510
2026-08-12,SPY,2026-09-25,890.00,Put,115.92,119.37,0.2446
2026-08-12,SPY,2026-09-25,910.00,Call,0.03,0.04,0.1647
2026-08-12,SPY,2026-09-25,910.00,Put,135.91,139.37,0.2757
2026-08-12,SPY,2026-09-25,925.00,Call,0.02,0.03,0.1744
2026-08-12,SPY,2026-09-25,925.00,Put,151.01,154.37,0.2937
2026-08-12,SPY,2026-09-25,930.00,Call,0.02,0.03,0.1789
2026-08-12,SPY,2026-09-25,930.00,Put,156.01,159.37,0.3010
